video_id,video_url,video_title,published_at,website,use,details,frame_path,
s_bb4DwfgEY,https://www.youtube.com/watch?v=s_bb4DwfgEY,Remove vocals from any song,6/2/2025,remusic.ai/ai-vocal-remover,Extract vocals and instruments from songs,"The website allows users to upload a song and separate its vocals and instruments. Users can isolate just the vocals or just the instruments, and even select specific instruments like drums to extract. This makes it easy to isolate different audio components from a track.",data\raw\frames\frame_video_s_bb4DwfgEY_unknown_website_003_00.jpg,
21s0b5Tcmn4,https://www.youtube.com/watch?v=21s0b5Tcmn4,Did you know this trick?,5/27/2025,setupspawn@outlook.com,Infinite emails,Unable to extract detailed information from transcript,data\raw\frames\frame_video_21s0b5Tcmn4_unknown_website_008_00.jpg,
BCHPbPN44a8,https://www.youtube.com/watch?v=BCHPbPN44a8,PC Tricks You Didn't Know,5/20/2025,No website,Extract text from images or PDFs using Windows Snipping Tool's OCR feature,"The speaker describes using the Windows Snipping Tool to capture an image of text that cannot be copied directly from an image or PDF. By pressing Windows key + Shift + S, you can highlight the area containing the text. Opening the snip in the Snipping Tool allows you to click a button that enables text selection or copying all text from the image, which can then be pasted elsewhere. This leverages the built-in OCR (Optical Character Recognition) functionality of the Snipping Tool in Windows.",data\raw\frames\frame_video_BCHPbPN44a8_unknown_website_015_00.jpg,
WM3raNv8GOA,https://www.youtube.com/watch?v=WM3raNv8GOA,Don't tell your Teachers,5/15/2025,thea.study,Generates smart study guides and flashcards from uploaded class materials,"Thea.study allows users to upload PDFs or type in their study topics to automatically generate smart study guides tailored to the material. It creates numerous flashcards and practice questions, helping users prepare effectively for tests by turning their class content into interactive study tools.",data\raw\frames\frame_video_WM3raNv8GOA_unknown_website_003_00.jpg,
Maymu8pmS94,https://www.youtube.com/watch?v=Maymu8pmS94,Why didn't I have this in school?,5/8/2025,part324.com,Interactive historical map showing world changes across eras,"Allows users to explore different historical periods by clicking on eras, zoom into specific regions like Italy, view rulers and religions, and add markers for battles, politicians, and artists with detailed information on each.",data\raw\frames\frame_video_Maymu8pmS94_part324_com_002.jpg,
b8eZXmjfpv0,https://www.youtube.com/watch?v=b8eZXmjfpv0,I got catfished,4/30/2025,https://faceonlive.com,Detect if a photo is AI-generated or a deepfake,"Faceonlive.com allows users to upload a picture to determine if it is fake or AI-generated, identifying the specific image generator used. It helps verify the authenticity of images, useful for spotting catfishing or deepfakes. The site can accurately distinguish real photos from AI-altered ones and even identify the AI model responsible, providing an easy and reliable way to check image authenticity.",data\raw\frames\frame_video_b8eZXmjfpv0_unknown_website_007_00.jpg,
dPpufmzDql4,https://www.youtube.com/watch?v=dPpufmzDql4,Impress Your Imaginary Friends,4/20/2025,musclewiki.com,Generate customized workouts based on equipment and target muscles,"Musclewiki.com allows users to select their available workout equipment and target specific muscles to receive exercise guides and videos tailored to those choices. It features a workout generator where users can specify their fitness goal, such as gaining strength, choose equipment and muscle groups like chest and back, and then generate a customized workout plan easily.",data\raw\frames\frame_video_dPpufmzDql4_unknown_website_003_00.jpg,
uBE8hJ5k7bE,https://www.youtube.com/watch?v=uBE8hJ5k7bE,This Game Cured My Boredom,4/9/2025,secure boredom,Explore global cities by driving through their streets virtually,Allows users to pick any location on a globe and drive a car through the streets of that city; includes features like teleporting to friends and challenging them to races.,data\raw\frames\frame_video_uBE8hJ5k7bE_secure boredom_000.jpg,
TSbGIQDfBbA,https://www.youtube.com/watch?v=TSbGIQDfBbA,Should we be worried?,3/26/2025,chatgpt.com/?model=gpt-4o,Website mentioned: chatgpt.com/?model=gpt-4o,Unable to extract detailed information from transcript,data\raw\frames\frame_video_TSbGIQDfBbA_unknown_website_011_00.jpg,
T959v9bdLfQ,https://www.youtube.com/watch?v=T959v9bdLfQ,Netflix Doesn't Tell You This,3/18/2025,netflix.com,Hear actors voices better,Unable to extract detailed information from transcript,,
